brewery_id;name;cat_id;style_id;abv
803;Indica India Pale Ale;3;26;6,5
919;Old Stock Ale 2004;1;13;11,4
604;Old Ruffian;3;35;10,2
745;Asam-Bock;7;90;6,9
1177;Big Daddy IPA;3;31;6,5
604;Titan IPA;3;31;6,8
1185;St Peter's Organic Ale;1;1;4,5
1185;Old-Style Porter;2;25;5,1
21;Speedway Stout;3;43;12
441;Quail Springs IPA;3;31;6
447;IPA;3;31;5,5
26;Cambonator Doppelbock;7;90;7,2
156;Porter Czarny Boss / Black BOSS Porter;3;42;9,6
604;Oak Aged Yeti Imperial Stout;3;43;9,5
1315;Double IPA;3;31;6,8
1315;Blackstone Stout;3;42;5,9
691;Red Ale;3;33;5,5
823;Schuylkill Punch;11;121;6
823;Nokdechiloff;3;35;12,7
823;California Dreaming;3;32;8
823;Manayunk Lager;7;84;6,4
823;Brilliant Barstool;1;1;5,1
823;Krooks Mill;3;26;5,3
823;Bohemian Blonde;7;77;4,7
503;Trompe La Mort;7;90;7,4
916;Wee Heavier;1;15;9,5
283;Gueuze 1882;5;70;5
1321;Regiment Pale Ale;3;26;6,1
1321;Red Coat Ale;3;33;5,7
1158;Instigator Doppelbock;7;90;7,5
1158;Helles Bock;7;90;6,6
1158;Anniversary IPA Ahtanum;3;31;7,2
1158;Anniversary IPA Glacier;3;31;7,2
1158;Route 113 IPA;3;31;7,2
1158;Featherweight Lager;8;95;4,1
1158;Royal Weisse;4;50;5,7
1158;Phoenix Pale Ale;3;26;5,5
409;Golden Treasure;3;37;4,2
409;Crabby Larry's Irish Red Ale;2;22;6
409;Calico Jack Amber Ale;3;33;5,4
841;East Kent IPA;3;31;6,6
841;Black Lab Stout;3;42;5,7
841;Old Rogue Pale Ale;3;26;5,5
841;Unicorn Amber Ale;3;33;4
841;Light Lager;8;95;3,5
700;Russian Imperial Stout;3;42;9,5
700;Ironbound Ale;3;26;5,1
700;Anvil Ale;1;5;4,8
549;Dirty Bastard Scotch Style Ale;1;15;8,5
71;Anniversary Ale;1;13;9
62;The Beast Grand Cru;5;66;14,9
612;Wexford Irish Cream Ale;11;113;5
98;Wee Heavy;1;15;6,5
26;Winterfestival;7;84;5,5
15;St. Martin Doppelbock;7;90;7,5
1181;Sprecher Doppelbock;7;92;7,85
527;Big Boat Oatmeal Stout;3;42;6,6
527;XXX English Ale;3;26;6,6
527;Starfire Pale Ale;3;26;6,2
527;Lighthouse Ale;8;95;4,4
1169;Nut Brown Ale;3;38;4,2
1169;Honey Pilsner;8;95;4,5
296;Grotten Brown;3;29;6,7
765;Imperial Stout;3;42;8,2
765;Censored (aka The Kronic);3;33;5,9
703;Wee Beast;1;15;7
1242;IPA;3;31;6,7
1366;Princess of Darkness Porter;2;25;5,4
592;Plaid Bastard;1;15;8
371;Rye On;8;95;4,8
36;Loyal Duke Scotch Ale;1;15;8,6
491;Otis Alt;3;38;5,3
1258;American Pale Ale;3;26;5,2
866;Weathertop Doppelbock;7;90;7,3
601;Pioneer Peak Porter;2;25;4,3
1027;Four Alarm Alt;3;38;4,8
1129;Thunderhead Amber Ale;3;33;6
1305;Emancipator;7;90;8,3
76;Superhop Ale;3;26;5,6
144;Oatmeal Stout;1;21;4,5
537;Ironhead Porter Old No. 3;2;25;6
263;Trappist Westvleteren 8;5;60;8
1379;St. Charles ESB;1;5;4,5
440;Redwing;3;33;4,73
440;Pale Ale;3;26;5,5
440;Oatmeal Stout;3;42;6,54
440;Nut Brown Ale;3;38;5,2
440;Singletrack Copper Ale;3;26;5,57
440;Pilsner;8;95;4,99
236;Thunder Stout;3;42;4,95
236;Autumn Ale;3;38;6,7
1045;Mortality Stout;3;42;7,5
1243;Big Hoppy Monster;3;33;8,75
159;Strom Bomb Stout;3;42;7,3
376;IPA;3;31;6,9
376;Black Cat Stout;3;42;6,15
540;Dogtoberfest Octoberfest;7;84;5,3
1064;Rocktoberfest;7;84;5
869;Black H2O Oatmeal Stout;1;21;6,2
869;Masala Mama IPA;3;31;5,9
869;Hope & King Scotch Ale;1;15;6
869;West Bank Pub Ale;1;1;4,6
869;Bright Spot Golden Ale;3;37;4,5
1191;Maibock;7;90;7,2
793;Hahn Special Vintage 2000;1;13;8
157;Samuel Adams Chocolate Bock;7;90;5,5
1012;Benchmark Old Ale;1;13;9,9
62;Czar Imperial Stout;3;42;11,9
442;Guinness Foreign Extra;3;42;6,5
953;Dragonhead Stout;3;42;4
447;Lava Rock Porter;2;25;7
662;Porter;7;86;5,8
334;Auburn Ale;3;33;5
498;Old 95;1;13;7
588;Premium Light Lager;8;95;4,5
945;Hop Maniac IPA;3;31;6,5
945;Steamroller Stout;3;42;6
945;Hazy Daze Hefeweizen;4;50;5,5
945;Patriot Pale Ale;3;26;5,2
945;Alt-Er-Ego Amber;3;38;5
68;Come About Imperial Stout;3;43;9
68;Navigator Doppelbock;7;92;8,9
1238;Hefeweizen;4;55;7,5
751;Fire Rock Pale Ale;3;26;5,8
524;Double Barrel Ale;3;33;5
